model_name,pair_name,family,item_index,entity,prompt,gold_answer,generated_text,pred_phrase,pred_clean,exact_family_match,gold_token_count,gold_token_mode,first_gold_token_id,first_gold_token_str,top1_token,top1_matches_first_gold,first_token_margin,first_token_rank,first_token_prob,top10_tokens,item_quality
meta-llama/Llama-3.2-3B,capital__language,capital,13,Norway,The capital of Norway is,oslo,The capital of Norway is Oslo. Oslo is the largest city in,oslo,oslo,1,1,leading_space,37362, oslo,Oslo,0,11.293490529060364,122,0.00026773641002364457, Oslo |  the |  a |  located |  also |  called |  one |  an |  known |  situated,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,14,Denmark,The capital of Denmark is,copenhagen,The capital of Denmark is Copenhagen. It is the largest city in,copenhagen,copenhagen,1,2,leading_space,272, c,Copenhagen,0,11.277005583047867,145,0.0003128620737697929, Copenhagen |  the |  a |  located |  one |  also |  known |  situated |  not |  home,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,15,Finland,The capital of Finland is,helsinki,The capital of Finland is Helsinki. It is located in the southern,helsinki,helsinki,1,2,leading_space,305, h,Helsinki,0,10.35559330880642,252,8.21106877992861e-05, Helsinki |  the |  located |  a |  one |  situated |  also |  known |  in |  an,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,16,Hungary,The capital of Hungary is,budapest,The capital of Hungary is Budapest. It is the largest city in,budapest,budapest,1,2,leading_space,37808, bud,Budapest,0,9.532578647136688,577,3.6321689549367875e-05, Budapest |  the |  a |  one |  also |  an |  home |  located |  known |  situated,generation_ok_but_logit_weak
meta-llama/Llama-3.2-3B,capital__language,capital,17,Thailand,The capital of Thailand is,bangkok,The capital of Thailand is Bangkok. It is the largest city in,bangkok,bangkok,1,2,leading_space,26518, bang,Bangkok,0,13.519793897867203,29,0.0022035683505237103, Bangkok |  a |  the |  known |  one |  also |  located |  home |  an |  not,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,18,Vietnam,The capital of Vietnam is,hanoi,The capital of Vietnam is Hanoi. It is the second largest,hanoi,hanoi,1,2,leading_space,305, h,H,0,12.329743593931198,81,0.0008474619244225323, H |  a |  the |  also |  one |  located |  an |  known |  home |  Ha,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,19,Egypt,The capital of Egypt is,cairo,The capital of Egypt is Cairo. It is the largest city in,cairo,cairo,1,1,leading_space,54748, cairo,Cairo,0,11.283660054206848,87,0.0004449352854862809, Cairo |  the |  located |  a |  one |  also |  known |  not |  situated |  home,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,20,Portugal,The capital of Portugal is,lisbon,The capital of Portugal is Lisbon. It is the largest city in,lisbon,lisbon,1,2,leading_space,41380, lis,Lisbon,0,11.286222726106644,162,0.00024098898575175554, Lisbon |  the |  a |  one |  located |  also |  an |  not |  home |  known,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,21,Romania,The capital of Romania is,bucharest,The capital of Romania is Bucharest. It is the largest city,bucharest,bucharest,1,3,leading_space,1048, bu,Buch,0,11.415190130472183,134,0.0003708386793732643, Buch |  the |  a |  also |  one |  located |  an |  situated |  known |  home,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,22,Austria,The capital of Austria is,vienna,The capital of Austria is Vienna. It is the largest city in,vienna,vienna,1,2,leading_space,3355, vi,Vienna,0,11.23348106816411,173,0.00020379129273351282, Vienna |  the |  a |  located |  also |  one |  known |  situated |  an |  not,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,23,Belgium,The capital of Belgium is,brussels,The capital of Belgium is Brussels. It is the largest city in,brussels,brussels,1,2,leading_space,1437, br,Brussels,0,14.189426004886627,17,0.005341642070561647, Brussels |  the |  a |  Br |  also |  one |  located |  not |  known |  an,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,24,Switzerland,The capital of Switzerland is,bern,The capital of Switzerland is Bern. It is the largest city in,bern,bern,1,1,leading_space,90363, bern,Bern,0,9.058886885643005,687,3.6355802876641974e-05, Bern |  the |  a |  located |  Zurich |  not |  also |  home |  in |  Geneva,generation_ok_but_logit_weak
meta-llama/Llama-3.2-3B,capital__language,capital,25,Czechia,The capital of Czechia is,prague,The capital of Czechia is Prague. It is the largest city in,prague,prague,1,2,leading_space,550, pr,Prague,0,11.924462378025055,118,0.0004880535416305065, Prague |  the |  a |  one |  also |  not |  located |  an |  home |  situated,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,26,Peru,The capital of Peru is,lima,The capital of Peru is Lima. It is located on the Pacific,lima,lima,1,2,leading_space,4671, lim,Lima,0,12.009123608469963,55,0.0006244477117434144, Lima |  the |  a |  located |  one |  also |  an |  not |  home |  known,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,27,Argentina,The capital of Argentina is,buenos aires,The capital of Argentina is Buenos Aires. It is the largest city,buenos aires,buenos aires,1,4,leading_space,54813, buen,Buenos,0,9.863127321004868,364,6.786020821891725e-05, Buenos |  the |  a |  located |  one |  also |  home |  known |  not |  Argentina,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,28,Colombia,The capital of Colombia is,bogota,The capital of Colombia is Bogota. It is the largest city,bogota,bogota,1,2,leading_space,35519, bog,Bog,0,13.10129565000534,25,0.002469860017299652, Bog |  the |  a |  located |  known |  not |  one |  also |  an |  in,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,29,Saudi Arabia,The capital of Saudi Arabia is,riyadh,The capital of Saudi Arabia is Riyadh. It is the largest city in,riyadh,riyadh,1,3,leading_space,436, r,Riyadh,0,11.149515867233276,117,0.0002135576360160485, Riyadh |  the |  located |  a |  also |  known |  called |  not |  home |  one,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,30,Qatar,The capital of Qatar is,doha,The capital of Qatar is Doha. It is the largest city,doha,doha,1,2,leading_space,656, do,D,0,12.813900887966156,31,0.0011077530216425657, D |  the |  a |  located |  known |  called |  not |  also |  situated |  in,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,31,UAE,The capital of UAE is,abu dhabi,The capital of UAE is Abu Dhabi. It is the second largest,abu dhabi,abu dhabi,1,4,leading_space,671, ab,Abu,0,13.722878634929657,18,0.004387744702398777, Abu |  the |  Dubai |  a |  located |  called |  known |  also |  one |  an,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,32,Nigeria,The capital of Nigeria is,abuja,The capital of Nigeria is Abuja. The country is located in,abuja,abuja,1,2,leading_space,671, ab,Abu,0,12.580168783664703,39,0.0015148443635553122, Abu |  Lagos |  located |  the | \n |  a |  called |  Ab | :\n | :,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,33,Kenya,The capital of Kenya is,nairobi,The capital of Kenya is Nairobi. It is the largest city in,nairobi,nairobi,1,2,leading_space,308, n,Nairobi,0,10.906523942947388,167,0.00016223093552980572, Nairobi |  the |  a |  located |  also |  N |  one |  situated |  named |  officially,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,language,1,France,The official language of France is,french,The official language of France is French. French is the official language of,french,french,1,1,leading_space,42293, french,French,0,15.211815685033798,5,0.0065513309091329575," French |  the |  called | , |  french |  known |  “ |   |  of |  français",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,2,Germany,The official language of Germany is,german,The official language of Germany is German. German is the most widely spoken,german,german,1,1,leading_space,43627, german,German,0,14.63504010438919,10,0.0035189094487577677," German |  the |  Standard |  called | , |  standard |  "" |   |  “ |  german",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,3,Italy,The official language of Italy is,italian,The official language of Italy is Italian. Italian is the official language of,italian,italian,1,1,leading_space,29048, italian,Italian,0,14.651483565568924,6,0.004028653260320425," Italian |  the | , |   |  called |  italian |  standard |  not |  IT |  “",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,4,Spain,The official language of Spain is,spanish,The official language of Spain is Spanish. The official language of Andorra,spanish,spanish,1,1,leading_space,78132, spanish,Spanish,0,14.92418023943901,11,0.0031839339062571526," Spanish |  Cast |  the |  called | , |  cast |   |  Catalan |  “ |  not",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,5,Russia,The official language of Russia is,russian,The official language of Russia is Russian. Russian is the official language of,russian,russian,1,1,leading_space,64245, russian,Russian,0,13.583197176456451,15,0.0024260669015347958," Russian |  the |  called |  Standard |  standard |  known |   | , |  a |  “",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,6,Japan,The official language of Japan is,japanese,The official language of Japan is Japanese. English is widely spoken in Tokyo,japanese,japanese,1,1,leading_space,54048, japanese,Japanese,0,14.370908915996552,11,0.003439648076891899," Japanese |  the |  known |  called |  Standard |  "" |  standard |  “ |  not | ,",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,7,South Korea,The official language of South Korea is,korean,The official language of South Korea is Korean. English is widely spoken in Seoul,korean,korean,1,2,leading_space,597, k,Korean,0,13.65961492061615,18,0.001572085078805685," Korean |  the |  Hang |  called |  known |  not | , |  South |   |  Korea",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,8,Greece,The official language of Greece is,greek,The official language of Greece is Greek. English is widely spoken in the,greek,greek,1,2,leading_space,342, g,Greek,0,15.101851224899292,6,0.0042845807038247585," Greek |  Modern |  the |  modern |  Ancient |  g |  called |  English |   | ,",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,9,Turkey,The official language of Turkey is,turkish,The official language of Turkey is Turkish. English is widely spoken in the,turkish,turkish,1,2,leading_space,13535, tur,Turkish,0,13.628476589918137,15,0.00158520950935781," Turkish |  the |  called |  Turk |  known |  “ |   |  "" |  a |  English",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,10,Poland,The official language of Poland is,polish,The official language of Poland is Polish. English is widely spoken in tourist,polish,polish,1,1,leading_space,45129, polish,Polish,0,16.592154681682587,3,0.015012224204838276, Polish |  the |  polish |  standard |  called |  Standard |  known |  a |   |  not,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,11,Netherlands,The official language of Netherlands is,dutch,The official language of Netherlands is Dutch. Dutch is a West Germanic,dutch,dutch,1,2,leading_space,10249, dut,Dutch,0,15.19617384672165,6,0.004161479417234659, Dutch |  the |  English |  Netherlands |  N |  dut |  called | : |  a |  known,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,12,Sweden,The official language of Sweden is,swedish,The official language of Sweden is Swedish. Swedish is a North Germanic,swedish,swedish,1,2,leading_space,2064, sw,Swedish,0,14.217999041080475,12,0.0025728787295520306," Swedish |  the |  Sw |  known | , |   |  called |  Sweden |  “ |  Svens",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,13,Norway,The official language of Norway is,norwegian,The official language of Norway is Norwegian. Norwegian is a North Germanic,norwegian,norwegian,1,2,leading_space,6463, nor,Norwegian,0,13.959360420703888,17,0.0026659532450139523," Norwegian |  N |  the |  B |  called |  known |   | , |  “ |  a",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,14,Denmark,The official language of Denmark is,danish,The official language of Denmark is Danish. Danish is a North Germanic,danish,danish,1,2,leading_space,9279, dan,Danish,0,14.023371160030365,16,0.0014144001761451364," Danish |  the |  called |  known |   | , |  English |  a |  Norwegian |  Dan",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,15,Finland,The official language of Finland is,finnish,The official language of Finland is Finnish. Finnish is a Finno-U,finnish,finnish,1,2,leading_space,1913, fin,Finnish,0,13.071817755699158,24,0.0006118004093877971," Finnish |  Swedish |  the |   |  Finland | , |  known |  called |  “ |  F",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,16,Hungary,The official language of Hungary is,hungarian,The official language of Hungary is Hungarian. Hungarian is a Uralic,hungarian,hungarian,1,2,leading_space,18799, hung,Hungarian,0,14.6270751953125,9,0.0032293398398905993," Hungarian |  Mag |  the |   |  called |  Hung |  not | , |  hung |  known",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,17,Thailand,The official language of Thailand is,thai,The official language of Thailand is Thai. English is widely spoken in tourist,thai,thai,1,1,leading_space,18420, thai,Thai,0,13.832831144332886,14,0.0027694017626345158," Thai |  the |  called |  known |  “ |  Thailand | , |   |  "" |  a",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,18,Vietnam,The official language of Vietnam is,vietnamese,The official language of Vietnam is Vietnamese. English is widely spoken in the,vietnamese,vietnamese,1,2,leading_space,85459, viet,Vietnamese,0,14.044739723205566,9,0.0033691348508000374, Vietnamese |  the |  called |  Viet |  known |  Vietnam |   |  Tiếng |  viet |  a,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,19,Egypt,The official language of Egypt is,arabic,"The official language of Egypt is Arabic, but English is widely spoken in",arabic,arabic,1,2,leading_space,52412, arab,Arabic,0,14.535335063934326,10,0.0024422849528491497, Arabic |  Egyptian |  Modern |  the |  Standard |  standard |  C |  modern |   |  arab,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,20,Portugal,The official language of Portugal is,portuguese,"The official language of Portugal is Portuguese. Portuguese is a Romance language,",portuguese,portuguese,1,3,leading_space,2700, port,Portuguese,0,14.352927088737488,13,0.0026101290713995695," Portuguese |  the |  European |  called | , |   |  “ |  Portug |  a |  """,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,21,Romania,The official language of Romania is,romanian,The official language of Romania is Romanian. English is widely spoken in the,romanian,romanian,1,2,leading_space,48876, roman,Romanian,0,14.79117238521576,10,0.003417790401726961, Romanian |  the |   |  Rom |  Roman |  Romania |  called |  a |  not |  roman,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,22,Austria,The official language of Austria is,german,"The official language of Austria is German. However, English is widely spoken",german,german,1,1,leading_space,43627, german,German,0,15.961573481559753,3,0.008603354915976524," German |  the |  german |  Standard |  Austrian |  standard | , |   |  "" |  called",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,23,Belgium,The official language of Belgium is,dutch,"The official language of Belgium is Dutch, but the country is also home",dutch,dutch,1,2,leading_space,10249, dut,Dutch,0,14.0699702501297,20,0.0020270817913115025," Dutch |  French |  Flem |  the |  a | , |  officially |  not |  called |  both",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,24,Switzerland,The official language of Switzerland is,german,"The official language of Switzerland is German, but there are four other official",german,german,1,1,leading_space,43627, german,German,0,13.305712580680847,26,0.001819636090658605," German |  the |  Swiss |  French | , |  a |  Standard |   |  not |  called",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,25,Czechia,The official language of Czechia is,czech,The official language of Czechia is Czech. Czech is a Slavic language,czech,czech,1,2,leading_space,272, c,Czech,0,13.943976759910583,15,0.0009310698369517922," Czech |  the | , |  called |  a |   |  standard |  Standard |  not |  known",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,26,Peru,The official language of Peru is,spanish,"The official language of Peru is Spanish, but there are also many indigenous",spanish,spanish,1,1,leading_space,78132, spanish,Spanish,0,15.529429256916046,5,0.003267702180892229," Spanish |  the |  Que |   |  spanish |  called |  “ |  Cast |  a | ,",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,27,Argentina,The official language of Argentina is,spanish,The official language of Argentina is Spanish. English is widely spoken in the,spanish,spanish,1,1,leading_space,78132, spanish,Spanish,0,15.650254175066948,4,0.004367626737803221," Spanish |  the |  Cast |  spanish |  called |   | , |  spoken |  “ |  Sp",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,28,Colombia,The official language of Colombia is,spanish,The official language of Colombia is Spanish. English is widely spoken in the,spanish,spanish,1,1,leading_space,78132, spanish,Spanish,0,15.74505078792572,4,0.004810583312064409," Spanish |  Cast |  the |  spanish |  called |   | , |  “ |  known |  Colombian",keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,29,Saudi Arabia,The official language of Saudi Arabia is,arabic,The official language of Saudi Arabia is Arabic. English is widely spoken in the,arabic,arabic,1,2,leading_space,52412, arab,Arabic,0,15.540629506111145,6,0.004577164072543383, Arabic |  Standard |  the |  standard |  Saudi |  arab |  Modern |  Arabian |  called |  ,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,30,Qatar,The official language of Qatar is,arabic,"The official language of Qatar is Arabic, but English is widely spoken and",arabic,arabic,1,2,leading_space,52412, arab,Arabic,0,15.18795645236969,8,0.0022283890284597874, Arabic |  the |  Standard |  standard |  Arab |  English |  Arabian |  arab |  Modern |  ,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,31,UAE,The official language of UAE is,arabic,The official language of UAE is Arabic. English is widely spoken in UAE,arabic,arabic,1,2,leading_space,52412, arab,Arabic,0,15.749712884426117,4,0.005260764621198177, Arabic |  English |  the |  arab |  called |   |  english |  Arab |  officially |  Arabian,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,32,Nigeria,The official language of Nigeria is,english,"The official language of Nigeria is English. However, there are over ",english,english,1,1,leading_space,30063, english,English,0,14.812199234962463,5,0.003845757571980357, English |  the |  Nigerian |  called |  english |   | : |  “ |  officially |  Nigeria,keep_strong
meta-llama/Llama-3.2-3B,capital__language,language,33,Kenya,The official language of Kenya is,english,"The official language of Kenya is English. However, Swahili is",english,english,1,1,leading_space,30063, english,English,0,14.925563097000122,10,0.0028488135430961847, English |  Sw |  Kis |  the |  sw |  officially |  Ki |   |  K |  english,keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,1,walk,The past tense of walk is,walked,The past tense of walk is walked. The past participle of walk,walked,walked,1,1,leading_space,15203, walked,walked,1,20.80807874724269,1,0.9006008505821228," walked |  walks |  walk | : |  "" |  “ | \n |  w |  walking |  the",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,2,play,The past tense of play is,played,The past tense of play is played. Play is a verb that is,played,played,1,1,leading_space,6476, played,played,1,19.622518002986908,1,0.8427453637123108," played |  play |  pl |  plays | \n |  "" | : |  the |  “ |  past",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,3,talk,The past tense of talk is,talked,The past tense of talk is talked. The past tense of talk is,talked,talked,1,1,leading_space,15243, talked,talked,1,19.379725635051727,1,0.8121315240859985," talked |  talk |  discussed |  talks | : | \n |  "" |  spoken |  “ |  told",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,4,work,The past tense of work is,worked,The past tense of work is worked. Worked is the past tense,worked,worked,1,1,leading_space,6575, worked,worked,1,18.37305110692978,1,0.6639646291732788," worked |  work |  works |  "" |  “ |  Work | \n | : |  wor |  a",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,5,jump,The past tense of jump is,jumped,The past tense of jump is jumped. Jump is a regular verb that,jumped,jumped,1,1,leading_space,27096, jumped,jumped,1,20.05798256956041,1,0.6228851079940796," jumped |  j |  jumps |  jump | : | \n |  "" |  J |  Jump |  “",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,6,look,The past tense of look is,looked,The past tense of look is looked. The past participle of look,looked,looked,1,1,leading_space,7111, looked,looked,1,21.12780138850212,1,0.9044426679611206," looked |  looks |  “ |  "" |  look | : |  ‘ | \n |  ' |  to",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,7,live,The past tense of live is,lived,The past tense of live is lived. The past tense of live is,lived,lived,1,1,leading_space,12439, lived,lived,1,17.88249897956848,1,0.4517073333263397, lived |  live |  to |  lives |  l |  liv |  alive |  living |  a |  the,keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,8,love,The past tense of love is,loved,The past tense of love is loved. The past tense of love is,loved,loved,1,1,leading_space,10456, loved,loved,1,15.98800539970398,1,0.19870086014270782," loved |  "" |  love |  “ |  lo |  a |  not |  the | \n | :",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,9,wash,The past tense of wash is,washed,The past tense of wash is washed. Wash is a regular verb that,washed,washed,1,1,leading_space,38593, washed,washed,1,20.423001747578382,1,0.8051816821098328," washed |  was |  wash |  "" |  “ |  w |  past | : |  to |  '",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,10,watch,The past tense of watch is,watched,The past tense of watch is watched. The past participle of watch,watched,watched,1,1,leading_space,15746, watched,watched,1,21.02535128593445,1,0.9106557965278625," watched |  watches |  watch |  “ |  "" |  witnessed |  w | \n | : |  past",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,11,cook,The past tense of cook is,cooked,The past tense of cook is cooked. Cooked is the past tense,cooked,cooked,1,1,leading_space,30205, cooked,cooked,1,20.92221912741661,1,0.8993508815765381," cooked |  cook |  to |  cooks |  “ |  "" | : |  not |  co |  ",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,12,start,The past tense of start is,started,"The past tense of start is started. Start is a regular verb.
",started,started,1,1,leading_space,3940, started,started,1,20.5505428314209,1,0.8050535917282104," started |  starts |  stared |  starred |  start |  starting |  star |  began |  staring |  """,keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,13,stop,The past tense of stop is,stopped,The past tense of stop is stopped. The past participle of stop,stopped,stopped,1,1,leading_space,10717, stopped,stopped,1,20.96172034740448,1,0.8812360167503357," stopped |  stops |  stop | \n | : |  "" |  st |  “ | :\n |  ",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,14,drop,The past tense of drop is,dropped,The past tense of drop is dropped. Drop is a verb that means,dropped,dropped,1,1,leading_space,12504, dropped,dropped,1,20.59678065776825,1,0.7586676478385925," dropped |  dro |  drops | : | \n |  "" |  “ |  ' |  drop | :\n",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,15,study,The past tense of study is,studied,The past tense of study is studied. The past tense of study is,studied,studied,1,1,leading_space,20041, studied,studied,1,19.202589571475983,1,0.7138530611991882," studied |  stud |  studies |  st | \n | : |  study |  "" |  a |  “",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,16,try,The past tense of try is,tried,The past tense of try is tried. Try is a regular verb that,tried,tried,1,1,leading_space,6818, tried,tried,1,19.7996916025877,1,0.7656551599502563," tried |  try |  tri |  tries |  "" |  “ | : | \n |  tr |  a",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,17,learn,The past tense of learn is,learned,The past tense of learn is learned. The past participle of learn,learned,learned,1,1,leading_space,9687, learned,learned,1,19.735260531306267,1,0.5570788979530334," learned |  learnt |  learn | \n | : |  lear |  "" |  “ |  a | :\n",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,18,paint,The past tense of paint is,painted,The past tense of paint is painted. Painted is the past tense,painted,painted,1,1,leading_space,24937, painted,painted,1,19.6497164350003,1,0.7656446695327759," painted |  paints |  past |  "" |  “ |  paint |  p | : | \n |  the",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,19,send,The past tense of send is,sent,The past tense of send is sent. The past participle of send,sent,sent,1,1,leading_space,3288, sent,sent,1,20.706343919038773,1,0.9043626189231873," sent |  send | \n |  sends | : |  "" |  “ |  s | :\n |  a",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,20,make,The past tense of make is,made,The past tense of make is made. The past participle of make,made,made,1,1,leading_space,1903, made,made,1,19.462493434548378,1,0.7722241878509521," made |  makes |  make |  "" |  “ |  to |  a |  the | : | \n",keep_strong
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,21,keep,The past tense of keep is,kept,The past tense of keep is kept. Keep is a regular verb that,kept,kept,1,1,leading_space,8774, kept,kept,1,21.837377071380615,1,0.8974575996398926," kept |  keeps |  to |  keeping |  kep |  keep |  ke |  "" |  “ | \n",keep_strong
